Leadership Position,Total Positions,Positions Held by Women,Approximate Percentage
State President,1,0,0
State Council Leaders,11,1,9%
Ministers,26,0,0%
Provincial-Level Governors,31,2,6%
National  Congress Chairman,1,0,0%
National  Congress Vice Chairmen,14,1,7%
National  Congress Standing Committee,168,19,11%
Political Consultative Conference Chairman,1,0,0%
Political Consultative Conference Vice Chairmen,24,2,8%
Political Consultative Conference Standing Committee,321,41,13%
Supreme People’s Court,13,2,15%